📌 주봉 신호 종목 현황 (2026-06-14 기준)
시총 높은 순 | 총 337개 종목

🇰🇷 한국 (20개)
       시총  [주간%]  종목명
 65.1조    [+3.5%]  기아  ← 이평선수렴, RSI/MACD
$     1B    [+0.7%]  Diebold Nixdorf  ← 이평선수렴, RSI/MACD
$     1B    [+2.5%]  Saul Centers  ← 이평선수렴, RSI/MACD
$     1B    [+3.4%]  Stellar Bancorp  ← 이평선수렴, RSI/MACD
$     1B   [+14.8%]  Arcutis Biotherapeutics  ← 이평선수렴, RSI/MACD
$     1B    [+6.3%]  Mirum Pharmaceuticals  ← 이평선수렴, RSI/MACD
$     1B    [+8.2%]  Nicolet Bankshares  ← 거래량폭발, 이평선수렴
$     1B    [+1.1%]  FRP Holdings  ← 5일선라이딩, 이평선수렴
$     1B    [+8.9%]  Allegiant Air  ← 이평선수렴, RSI/MACD
$     1B    [+3.8%]  TriCo Bancshares  ← 컵위드핸들, RSI/MACD
$     1B    [+4.5%]  Provident Financial Services  ← 이평선수렴, RSI/MACD
$     1B   [+17.6%]  Perimeter Solutions(52주)  ← 52주신고가, 이평선수렴
$     1B    [+7.1%]  ScanSource  ← 5일선라이딩, 이평선수렴
$     1B    [+0.0%]  Golden Entertainment  ← 5일선라이딩, 이평선수렴
$     1B    [+1.0%]  Ellington Financial  ← 5일선라이딩, 이평선수렴
$     1B    [+3.0%]  QCR Holdings(52주)  ← 52주신고가, 이평선수렴
$     1B    [+1.0%]  Innoviva  ← 이평선수렴, RSI/MACD
$     1B    [+5.7%]  Interface  ← 이평선수렴, RSI/MACD
$     1B    [+4.8%]  Byline Bancorp(52주)  ← 52주신고가, RSI/MACD
$     1B    [+5.2%]  LendingClub  ← 이평선수렴, RSI/MACD
