📌 주봉 신호 종목 현황 (2026-05-31 기준)
시총 높은 순 | 총 261개 종목

🇰🇷 한국 (18개)
       시총  [주간%]  종목명
현대오토에버 [1Q26 Review: 매출 이연 효과일 뿐 방향성은 ..]
  26.05.06 / 목표가: 
  유진투자증권

📎 https://finance.naver.com/item/main.naver?code=307950

──────────────────────────────────────────────────
✅ 삼성화재(+0.53%)

❗ 이평선수렴 | RSI/MACD

시가총액 : 25.4조
현재가   : N/A
(네이버금융 기준)

* 주요지표
PER : None배  /  PBR : None배
ROE : N/A  /  EPS : N/A

* 증권사 보고서 (최근 3건)
삼성화재 [1Q26 Review: 견조한 이익 지속 전망, 업종내..]
  26.05.18 / 목표가: 
  교보증권
